idcontrato;idAdjudicatario
10424261;506093190
10424271;506093190
10424433;510382258
10424474;RGPD
10424593;508725895
1) InstalaÃ§Ã£o, configuraÃ§Ã£o ;5203.8
2.;01/01/2024
10424705;513718117
10424795;506093190
10424853;506093190
10425077;RGPD
10425115;515487996
10425123;502755369
10425238;509800556
10425538;502991771
10425621;513606831
10425633;504594214
10426548;504652885
10426586;514610875
10426723;514458925
10426768;508306000
10426884;511041721
10426893;503347345
10426920;503070220
10426977;501169580
10426980;503504564
10426989;503934640
10427140;517170035
10427514;514556854
10427624;514798130
10427794;005033019B01
10427855;500918880
10428306;RGPD
10428479;508023181
10428507;RGPD
10428542;505365693
10428743;500556660
10428841;508194644
10428878;500149003
10428975;501792473
10429029;501445226
10429042;500211060
10429056;504615947
242000011 - AquisiÃ§Ã£o de pacemakers durante;83330
10429229;508648904
10429245;515817457
10429297;503971146
10429348;508291828
10429430;500686599
10429515;RGPD
10429524;500189412
10429616;502046376
10429773;500739960
10429777;515896420
10429820;505080125
10429827;501445226
10429925;500940231
10430104;503183997
10430170;506985261
10430208;508831989
10430310;504980580
10430357;500162085
10430467;500243522
10430523;502141999
10430617;508800323
10430750;502479418
10430757;501169580
10430770;508107997
10430883;507557840
10430917;513739157
10431243;RGPD
10431318;RGPD
10431323;508559871
10431627;515975141
10431685;RGPD
10431826;RGPD
10432106;RGPD
10432242;502801034
10432485;503176311
10432537;501720324
10432549;508831989
10432581;503697311
10432586;504293753
10432658;512024235
10432803;500940231
10432815;502542756
Evaristo Nogueira, Lda.;9318.12
10432947;508065747
10433191;517518732
nan;35093.8
10433469;505477882
10433570;514518847
10433621;501064320
10433697;501326456
10433811;503347345
10433923;503047201
10434093;500918880
10434172;506378527
10434253;500191360
10434319;500650870
10434363;503934640
10434401;500271518
10434423;506415740
10434511;500099790
10434559;511023928
10434560;508107997
10434730;502536071
nan;13260
10434965;502185473
10435095;516188151
Municipais de Vilar Formoso e Almeida;11835.97
10435161;514939354
10435481;513547622
10435561;509377513
10435589;500103461
10435608;RGPD
10435906;506448967
10435914;500017387
10435926;500697370
10436029;501725717
10436110;RGPD
10436160;508907365
10436188;507045491
10436620;514187085
10436654;502001364
10436845;501506543
10436903;509651054
10436944;502332905
10436999;503027952
10437010;504523295
10437026;508369444
10437041;500684324
10437071;508559871
10437231;980622212
10437242;500007365
10437256;500941351
10437879;500199906
10437883;500276994
10437938;513038876
10438024;500130248
nan;11417
10438134;510706592
nan;38480.4
10438165;500276218
10438200;507002571
10438214;507045491
10438253;514601248
10438258;507072065
10438268;500271518
10438523;508453534
10438535;506710025
10438563;505046547
10438682;508634784
10438768;513134549
10438805;503789372
10438853;514746408
10438872;501689168
10438940;500758158
10438953;515336556
10439038;507323270
10439232;513679073
10439384;506303004
10439449;502836148
10439496;508372771
10439518;502877472
10439555;506415740
10439633;500048193
10439682;502877472
10439698;510970141
10439703;507791690
10439749;RGPD
10439766;502907444
10439862;500101965
10439892;511275080
10439895;502266791
10439926;509784267
10440087;508981999
10440090;RGPD
10440151;503934640
10440200;513940189
Profissional MarquÃªs de Marialva, S.A.;28689.3
10440292;502413603
10440293;507981227
10440324;500940231
10440326;504899295
10440388;500191360
10440438;505322307
10440485;500063524
10440619;508107997
Lda.;12968.83
10440805;513410295
10440994;502716991
10441162;RGPD
10441267;980711495
10441355;980701996
10441501;980087783
10441525;508284872
10441619;513679413
10441632;500684324
10441634;502801204
10441794;500938326
10441851;513770267
10441891;515463965
10441973;510229050
na Modalidade de AvenÃ§a;15400
10442058;514308206
10442075;RGPD
10442097;504813480
Sociedade Difusora de Ensino da Figueira da Foz;4721.2
10442332;510125964
10442346;515998770
10442354;503378666
10442384;504654748
10442734;504223933
10442741;507173295
10442744;503789372
10442746;510434290
10442761;508294355
10442776;514916451
10442787;502780681
10442871;RGPD
10442906;514004185
10442960;503789372
10443096;503868531
10443126;501326456
10443180;RGPD
10443243;507938810
10443249;514666382
10443394;505134195
10443418;501445226
10443471;507020014
10443504;503604704
10443563;505231212
10443624;504136992
10443638;503193364
10443723;515281417
10443730;500199906
10443793;510255639
10443890;508958024
10444044;502604751
10444053;515812862
10444070;500384045
10444077;508622263
10444082;506985261
10444115;500276994
10444226;RGPD
10444243;514301554
10444248;RGPD
Difusora de Ensino da Figueira da Foz, Lda.;24754.25
10444306;504313061
10444492;503183997
10444509;503333077
10444546;500145415
10444554;513032665
propriedade da ETPR â Escola TÃ©cnica e Prof;58588.25
10444577;502442271
10444614;506761126
10444654;502414529
10444709;RGPD
10444719;500043256
10444763;507011724
10444861;503612600
10444888;513246002
10444948;500917477
10444955;504641816
10444988;509797954
10444993;513770267
10445021;508432430
10445065;509778020
10445109;502350652
10445142;502350652
10445217;516683721
10445381;502002140
10445477;RGPD
10445504;RGPD
10445540;500697370
10445587;RGPD
10445643;503838160
10445657;980420636
10445745;502367229
10445865;500425671
10446610;505280000
10446757;500684324
10446862;510386946
10446892;RGPD
10447002;502265094
10447028;504918052
10447033;507002318
10447101;500247480
10447153;502828412
10447297;503412031
10447322;512022100
10447341;506972682
10447546;507925173
10447590;509240704
10447593;517879239
10447599;506126790
10447623;502916974
10447686;501689168
10447897;515540781
10447924;510576524
10447927;514728310
10447934;500077568
10448025;505764636
10448367;508190495
10448382;516480430
10448492;507072855
10448510;501169580
10448528;503932680
10448532;500697370
10448676;506565165
10448718;RGPD
10448733;509778020
10448773;507383125
10448818;506734579
10448844;RGPD
10448862;RGPD
nan;51000
10449306;504453939
10449423;504774352
10449534;507052609
10449585;505477882
10449693;508449600
10449854;509852009
10449919;508604460
10449940;515628921
10450011;509504345
10450553;500063524
10450695;980711495
10450708;503047201
10450719;502029021
10450731;504206150
10450817;501840907
10450844;RGPD
10450852;500017387
10450854;514564539
10450890;501998691
10450929;514357878
10450976;507056680
10450978;980622212
10450991;503567582
10450994;500940231
10451144;502142324
10451173;502942959
10451186;513744843
10451292;502442271
10451298;502027037
10451411;504377230
10451438;513770267
10451528;509873391
10451544;500162166
10451568;506126790
10451667;502379472
10451746;514366869
10451765;502661321
10451862;RGPD
10451864;502533943
10451927;504206150
10451985;RGPD
10452016;507756002
10452050;502996323
10452162;504282921
10452187;503047201
10452205;507309723
10452307;515155853
10452593;514986212
10452725;500918880
10452742;506657035
10452913;504223933
10452943;502981547
10452959;502916974
10453157;502693622
10453304;513631984
10453324;RGPD
10453389;RGPD
10453432;500938326
10453603;980655684
10453804;RGPD
10453832;502041285
10453871;504990926
10453956;504459201
10454031;514260718
10454077;RGPD
10454080;516011901
10454089;980262364
10454152;506620166
10454308;500145415
10455220;513250492
10455231;503070220
10455257;513077332
10455314;510533515
10455341;500730741
10455391;500006148
10455425;500219672
10455455;510823165
10455494;502064080
10455502;510794653
10455504;503232785
10455553;502178191
10455561;511135858
10455565;500900469
10455575;501476180
10455600;501476180
10455619;504990926
10455630;504990926
10455634;505309874
10455665;516482327
10455676;506370836
10455720;RGPD
10455759;501476180
10455787;500120501
10455834;RGPD
10455847;500120501
10455908;RGPD
10456145;514944617
10456211;500310068
10456432;509586961
10456517;500987076
10456642;500697370
10456711;500918880
nan;1790.43
10456838;500199906
10456983;RGPD
10457058;500697370
10457085;RGPD
10457161;508107997
10457162;RGPD
10457191;504890778
10457227;RGPD
10457243;503183997
10457324;501169580
10457367;511013426
10457419;503538108
10457454;511013426
10457559;504150014
10457569;515625248
10457578;500293023
10457590;502266791
10457603;510693920
10457630;510533515
10457652;504223933
10457716;500393222
10457823;501322906
10457876;502675381
10457889;510598692
10457957;517286017
10458058;RGPD
10458118;500697370
10458190;500853975
10458195;503932043
10458199;502388803
10458234;RGPD
10458368;500883750
10458418;500231206
10458498;RGPD
10458664;980474710
10458818;CH106183230
10458834;RGPD
10458852;500234370
10458858;RGPD
